customer_id,recency,frequency,monetary,segment,churn_risk
1,636,3,1217.55,Particular,0.546
2,626,3,869.43,Particular,0.434
3,520,2,461.06000000000006,Profesional,0.806
4,423,3,512.38,Particular,0.749
5,1132,2,870.14,Particular,0.317
6,306,3,309.74,Particular,0.812
7,68,4,945.6,Particular,0.519
8,200,7,2117.37,Particular,0.628
9,86,4,1281.63,Particular,0.866
10,846,1,529.87,Profesional,0.476
11,629,2,577.84,Particular,0.756
12,186,5,1425.3899999999999,Profesional,0.628
13,651,1,405.89,Particular,0.427
14,102,6,1778.78,Empresa,0.789
15,1255,2,671.13,Profesional,0.105
16,83,2,409.29,Empresa,0.581
17,231,2,544.73,Particular,0.046
18,28,3,242.64,Particular,0.156
19,16,11,3314.24,Profesional,0.599
20,49,4,1287.36,Profesional,0.308
21,348,3,1156.96,Empresa,0.262
22,690,3,1146.42,Particular,0.956
23,358,2,548.0600000000001,Profesional,0.366
24,363,3,754.01,Particular,0.565
25,751,3,989.77,Particular,0.534
26,155,4,659.37,Particular,0.062
27,150,7,2166.32,Particular,0.674
28,755,1,350.15,Profesional,0.513
29,307,4,1320.35,Particular,0.381
30,489,3,813.9200000000001,Particular,0.066
31,3,4,1010.96,Particular,0.293
32,242,2,682.94,Particular,0.884
33,610,1,236.66,Particular,0.174
34,586,2,791.79,Particular,0.219
35,844,5,1458.88,Particular,0.205
36,188,6,1108.55,Profesional,0.891
38,68,4,1521.9,Particular,0.882
39,395,2,476.64,Particular,0.914
40,162,4,1289.57,Particular,0.928
41,16,5,1198.68,Profesional,0.486
42,222,4,963.21,Particular,0.476
43,124,6,1653.71,Particular,0.829
44,197,6,1598.45,Particular,0.332
45,114,2,366.57,Empresa,0.022
46,497,2,408.36,Particular,0.332
47,436,4,820.31,Particular,0.716
48,36,4,903.02,Empresa,0.124
49,1102,3,967.42,Particular,0.785
50,8,4,740.67,Profesional,0.815
51,1037,3,892.46,Particular,0.101
52,1204,2,470.75,Empresa,0.098
53,425,3,968.05,Particular,0.199
54,1208,3,1009.9399999999999,Profesional,0.356
55,37,7,2196.29,Particular,0.533
56,186,4,572.39,Profesional,0.486
57,170,8,2764.4300000000003,Particular,0.853
58,53,5,1250.26,Particular,0.142
59,284,3,639.56,Profesional,0.698
60,41,6,1520.47,Particular,0.549
61,270,4,588.54,Particular,0.737
62,147,4,904.78,Particular,0.342
63,208,3,533.89,Profesional,0.471
64,1287,1,149.31,Particular,0.029
65,349,1,205.95,Profesional,0.116
66,146,12,3259.98,Particular,0.375
67,890,5,942.22,Particular,0.481
68,32,5,1317.3600000000001,Particular,0.086
69,44,4,1004.38,Particular,0.825
70,763,7,2288.9300000000003,Particular,0.946
71,12,6,1598.92,Particular,0.596
72,457,4,734.28,Particular,0.053
73,137,2,296.6,Empresa,0.739
74,38,4,578.1800000000001,Particular,0.217
75,348,4,1260.96,Particular,0.734
76,527,7,2157.05,Particular,0.434
77,11,7,1469.51,Particular,0.053
78,91,8,2124.95,Particular,0.279
79,285,6,2057.4700000000003,Particular,0.427
80,43,12,3307.78,Profesional,0.736
81,172,8,1988.19,Particular,0.133
82,406,5,1520.8899999999999,Particular,0.287
83,213,5,1395.5900000000001,Particular,0.084
84,1230,1,457.01,Particular,0.616
85,153,3,775.91,Particular,0.474
86,125,6,1876.06,Particular,0.929
87,127,8,1733.1100000000001,Particular,0.741
88,310,3,862.63,Particular,0.778
89,491,4,1557.9099999999999,Profesional,0.164
90,61,5,1295.67,Particular,0.267
91,432,7,1648.35,Particular,0.513
92,445,4,1163.19,Particular,0.013
93,481,5,1517.8,Particular,0.87
94,443,4,1021.75,Particular,0.778
95,226,2,427.61,Particular,0.058
96,610,3,396.18,Profesional,0.849
97,19,5,1154.71,Particular,0.004
98,328,2,805.5699999999999,Particular,0.114
99,874,4,1001.33,Particular,0.055
100,640,3,590.69,Particular,0.479
101,466,2,535.4,Particular,0.784
102,1015,3,993.17,Particular,0.179
103,110,3,1106.4099999999999,Particular,0.771
104,986,3,653.97,Particular,0.185
105,75,8,2651.35,Particular,0.991
106,570,6,1349.89,Profesional,0.853
107,104,5,644.41,Particular,0.737
108,123,5,1727.53,Particular,0.592
